run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,dT_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om0,1.4306049871798832,0.2233245327237774,23.70168833365585,83.00347782631717,624.9962224050814,-66.26175660602588,206.8882433939741,,True,401.8614475898981,14,170.55640297402326,-66.2617566060467,-66.26175660600506,-64.65529986499278,-75.29017715413804,10.634877289145251,-81.3015103995028,5.256907428428605,2,0.25,0.0,0.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om180,0.7923239872915679,0.2331602469643267,21.015434260483964,271.22049837127014,257.603640754542,88.38626368924926,361.53626368924927,90.0,False,477.07594614035645,30,557.3531475745328,88.3862636896152,88.38626368888329,55.34582722749498,48.222312377078794,7.123514850416186,73.34650989577234,5.055172319448047,1,0.25,0.0,0.0,180.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om270,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,-56.09027297497694,217.05972702502305,,True,399.4934319310725,17,226.49823578441658,-56.090272974719696,-56.09027297523423,-56.893411771646505,-66.21852372996908,9.325111958322573,-71.13002676845386,4.312175009928982,1,0.25,0.0,0.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om90,1.0166818183807187,0.2811479078892679,25.93211793520845,176.12114869988952,374.4340848938256,15.759736551473974,288.90973655147394,75.16488841802429,False,724.0201133445147,14,343.01144691510746,15.749242732602868,15.77023037034508,2.639601293737274,-12.298993543326269,14.938594837063542,0.7199827579970606,4.7471068422819584,2,0.25,0.0,0.0,90.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om0,0.7923239872915679,0.2331602469643267,21.015434260483964,271.22049837127014,257.603640754542,88.38626368924926,361.53626368924927,90.0,False,477.07594614035645,30,557.3531475745328,88.3862636896152,88.38626368888329,55.34582722749498,48.222312377078794,7.123514850416186,73.34650989577234,5.055172319448047,1,0.25,0.0,180.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om180,1.4306049866744706,0.2233245331377317,23.70168832560552,83.00347775856739,624.9962220738778,-66.26175658109555,206.88824341890444,,True,401.861448181285,14,170.55640311112856,-66.26175658111644,-66.26175658107464,-64.65529984144287,-75.29017713678283,10.634877295339962,-81.30151037457247,5.25690742720019,2,0.25,0.0,180.0,180.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om270,1.0166818177318506,0.2811479058077433,25.932117981665176,176.12114944395958,374.4340845353678,15.759736610612766,288.90973661061275,75.16488841802429,False,724.0201080791854,14,343.0114471349772,15.749242790232527,15.770230430993008,2.639601287562638,-12.298993446757434,14.938594734320072,0.7199828171358522,4.747106858976243,2,0.25,0.0,180.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om90,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,-56.09027297497694,217.05972702502305,,True,399.4934319310725,17,226.49823578441658,-56.090272974719696,-56.09027297523423,-56.893411771646505,-66.21852372996908,9.325111958322573,-71.13002676845386,4.312175009928982,1,0.25,0.0,180.0,90.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om0,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,-56.09027297497694,217.05972702502305,,True,399.4934319310725,17,226.49823578441658,-56.090272974719696,-56.09027297523423,-56.893411771646505,-66.21852372996908,9.325111958322573,-71.13002676845386,4.312175009928982,1,0.25,0.0,270.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om180,1.0166818177318506,0.2811479058077433,25.932117981665176,176.12114944395958,374.4340845353678,15.759736610612766,288.90973661061275,75.16488841802429,False,724.0201080791854,14,343.0114471349772,15.749242790232527,15.770230430993008,2.639601287562638,-12.298993446757434,14.938594734320072,0.7199828171358522,4.747106858976243,2,0.25,0.0,270.0,180.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om270,0.7923239908426015,0.2331602451178122,21.01543432349174,271.2204974362536,257.603642486332,88.38626193320262,361.5362619332026,90.0,False,477.07594366159657,30,557.3531423248935,88.3862619335682,88.38626193283704,55.34582589363863,48.222311010413996,7.123514883224637,73.3465081397257,5.055172302911926,1,0.25,0.0,270.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om90,1.4306049866744706,0.2233245331377317,23.70168832560552,83.00347775856739,624.9962220738778,-66.26175658109555,206.88824341890444,,True,401.861448181285,14,170.55640311112856,-66.26175658111644,-66.26175658107464,-64.65529984144287,-75.29017713678283,10.634877295339962,-81.30151037457247,5.25690742720019,2,0.25,0.0,270.0,90.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om0,1.0166818183807187,0.2811479078892679,25.93211793520845,176.12114869988952,374.4340848938256,15.759736551473974,288.90973655147394,75.16488841802429,False,724.0201133445147,14,343.01144691510746,15.749242732602868,15.77023037034508,2.639601293737274,-12.298993543326269,14.938594837063542,0.7199827579970606,4.7471068422819584,2,0.25,0.0,90.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om180,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,-56.09027297497694,217.05972702502305,,True,399.4934319310725,17,226.49823578441658,-56.090272974719696,-56.09027297523423,-56.893411771646505,-66.21852372996908,9.325111958322573,-71.13002676845386,4.312175009928982,1,0.25,0.0,90.0,180.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om270,1.4306049866744706,0.2233245331377317,23.70168832560552,83.00347775856739,624.9962220738778,-66.26175658109555,206.88824341890444,,True,401.861448181285,14,170.55640311112856,-66.26175658111644,-66.26175658107464,-64.65529984144287,-75.29017713678283,10.634877295339962,-81.30151037457247,5.25690742720019,2,0.25,0.0,90.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om90,0.7923239872915679,0.2331602469643267,21.015434260483964,271.22049837127014,257.603640754542,88.38626368924926,361.53626368924927,90.0,False,477.07594614035645,30,557.3531475745328,88.3862636896152,88.38626368888329,55.34582722749498,48.222312377078794,7.123514850416186,73.34650989577234,5.055172319448047,1,0.25,0.0,90.0,90.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om0__om0,1.3788260121350175,0.204388457249952,23.304570159776578,71.49021877675223,591.373680858856,-64.03032626685412,209.11967373314587,,True,402.6566087364074,15,182.8291196255622,-64.0303262668506,-64.03032626685761,-63.00865211846246,-73.38131761127454,10.372665492812082,-79.07008006033104,5.716894492920149,2,0.25,30.0,0.0,0.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om0__om180,0.8829994133590646,0.1596977056968631,24.930210706507143,286.80832446843897,303.0668345616973,49.59329361155668,322.7432936115567,90.0,False,507.2790847692249,24,442.06601652581514,49.59329361646116,49.5932936066522,27.319745686478015,16.566957037105166,10.75278864937285,34.55353981807977,4.912200031792338,2,0.25,30.0,0.0,180.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om0__om270,1.2481316149214106,0.1390635470883844,23.746185182037564,38.02109352297312,509.3172274271904,-57.17079354253792,215.97920645746206,,True,399.61156329849064,17,220.55547392364423,-57.170793542293005,-57.17079354278284,-57.620070312689386,-67.21785131756526,9.597781004875877,-72.21054733601484,4.569765520926923,1,0.25,30.0,0.0,270.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om0__om90,0.9892361890096284,0.3785730925865211,21.69865698032752,206.44028573383235,359.37493532798686,27.732662204480313,300.8826622044803,90.0,False,651.5145263725566,20,375.6541722377334,27.791706200160935,27.673618208799688,10.287231615309713,-0.560664990765064,10.847896606074777,12.6929084110034,5.405464056882556,2,0.25,30.0,0.0,90.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om180__om0,0.7278003749144271,0.3477972989469803,24.212242188321987,259.09289099970005,226.7859800121821,130.4607480070135,403.6107480070135,90.0,False,631.4209161574748,34,685.1252862851551,130.46074800621153,130.4607480078155,91.25915548483019,84.96243130934599,6.296724175484201,115.42099421353659,5.396737817814231,1,0.25,30.0,180.0,0.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om180__om180,1.6461932221223652,0.319234394887897,23.39853775065705,94.0990989604158,771.4699321542009,-73.18344926941529,199.9665507305847,,True,391.5671757187843,12,132.48805665626975,-73.18344926941988,-73.18344926941072,-70.13241738946357,-81.40176463195625,11.269347242492685,-88.22320306289221,4.789768867145566,0,0.25,30.0,180.0,180.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om180__om270,1.0803905018860556,0.2061032613885255,28.11224587752384,146.30759838550992,410.1747542758503,-43.10924081984829,230.0407591801517,,True,695.0014201140671,39,297.89441708566847,-43.10924082061568,-43.109240819080895,-42.305038007202285,-54.61673984352016,12.311701836317873,-58.1489946133252,3.547084357650361,1,0.25,30.0,180.0,270.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om180__om90,1.167996042347918,0.0752865195239307,22.6958196652158,83.68669783093786,461.0625492315246,-51.795196333882735,221.35480366611725,,True,411.9947349314185,19,250.12073511618073,-51.79519633418367,-51.79519633358178,-53.18681234255972,-62.18019653020993,8.993384187650214,-66.83495012735965,3.5845675516084365,0,0.25,30.0,180.0,90.0
