run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,land_summer_max_degC,land_winter_min_degC,land_seasonal_range_K,ocean_summer_max_degC,ocean_seasonal_range_K,dT_vs_baseline_K,dland_summer_max_vs_baseline_K,ddiag_summer_max_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om0,1.4306049871798832,0.2233245327237774,23.70168833365585,83.00347782631717,624.9962224050814,-66.26171461634252,206.88828538365746,,True,401.8614475898981,20,170.55640297402326,-66.26172357487668,-66.26170565780833,-59.617961632709424,-75.93248813901417,16.314526506304745,-51.7082615383487,-78.42121298184696,26.712951443498262,-65.9287603800416,8.260276359489879,-81.57844763201543,-66.28433612286993,-64.71707576860432,5.256907428428605,2,0.25,0.0,0.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om180,0.7923239872915679,0.2331602469643267,21.015434260483964,271.22049837127014,257.603640754542,88.38616464899137,361.53616464899136,90.0,False,477.07594614035645,44,557.3531475745328,88.38619435956954,88.38613493841318,55.18320963962865,43.834451984911055,11.348757654717595,57.308695309981026,37.414570699681946,19.89412461029908,54.08450274372945,4.484553504522957,73.06943163331846,42.73262072545979,50.084095503733764,5.055172319448047,1,0.25,0.0,0.0,180.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om270,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,-56.09023670761202,217.05976329238797,,True,399.4934319310725,25,226.49823578441658,-56.090249274398026,-56.090224140826066,-52.76821389359877,-67.61472144032038,14.846507546721611,-45.96597859401708,-70.94551910901615,24.979540514999066,-58.004348204439715,7.133628302637156,-71.40696972328493,-60.54205317853832,-57.867328029493656,4.312175009928982,1,0.25,0.0,0.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om90,1.0166818183807187,0.2811479078892679,25.93211793520845,176.12114869988952,374.4340848938256,15.722192153453422,288.8721921534534,70.81186354627908,False,724.0201133445147,24,343.01144691510746,15.417578095308777,16.026806211598068,21.32426609763864,-18.181762014126026,39.506028111764664,42.13037450085333,-26.30606711441227,68.4364416152656,0.6781696504647001,12.531133556781429,0.40545913778050924,27.55429991633209,16.225151961743748,4.7471068422819584,2,0.25,0.0,0.0,90.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om0,0.7923239872915679,0.2331602469643267,21.015434260483964,271.22049837127014,257.603640754542,88.38616464899137,361.53616464899136,90.0,False,477.07594614035645,44,557.3531475745328,88.38619435956954,88.38613493841318,55.18320963962865,43.834451984911055,11.348757654717595,57.308695309981026,37.414570699681946,19.89412461029908,54.08450274372945,4.484553504522957,73.06943163331846,42.73262072545979,50.084095503733764,5.055172319448047,1,0.25,0.0,180.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om180,1.4306049866744706,0.2233245331377317,23.70168832560552,83.00347775856739,624.9962220738778,-66.26171459141324,206.88828540858674,,True,401.861448181285,20,170.55640311112856,-66.26172354994695,-66.26170563287953,-59.617961594116224,-75.93248812300236,16.314526528886134,-51.708261482658806,-78.42121296822215,26.712951485563345,-65.928760356705,8.260276364830844,-81.57844760708615,-66.28433606718004,-64.71707573001112,5.25690742720019,2,0.25,0.0,180.0,180.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om270,1.0166818177318506,0.2811479058077433,25.932117981665176,176.12114944395958,374.4340845353678,15.722192214123783,288.87219221412374,70.81186354627908,False,724.0201080791854,24,343.0114471349772,15.417578149200837,16.026806279046728,21.324265815399354,-18.181761913521072,39.50602772892043,42.13037398967196,-26.306067000019176,68.43644098969114,0.6781696475213979,12.531133466920725,0.4054591984508704,27.554299405150722,16.225151679504464,4.747106858976243,2,0.25,0.0,180.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om90,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,-56.09023670761202,217.05976329238797,,True,399.4934319310725,25,226.49823578441658,-56.090249274398026,-56.090224140826066,-52.76821389359877,-67.61472144032038,14.846507546721611,-45.96597859401708,-70.94551910901615,24.979540514999066,-58.004348204439715,7.133628302637156,-71.40696972328493,-60.54205317853832,-57.867328029493656,4.312175009928982,1,0.25,0.0,180.0,90.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om0,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,-56.09023670761202,217.05976329238797,,True,399.4934319310725,25,226.49823578441658,-56.090249274398026,-56.090224140826066,-52.76821389359877,-67.61472144032038,14.846507546721611,-45.96597859401708,-70.94551910901615,24.979540514999066,-58.004348204439715,7.133628302637156,-71.40696972328493,-60.54205317853832,-57.867328029493656,4.312175009928982,1,0.25,0.0,270.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om180,1.0166818177318506,0.2811479058077433,25.932117981665176,176.12114944395958,374.4340845353678,15.722192214123783,288.87219221412374,70.81186354627908,False,724.0201080791854,24,343.0114471349772,15.417578149200837,16.026806279046728,21.324265815399354,-18.181761913521072,39.50602772892043,42.13037398967196,-26.306067000019176,68.43644098969114,0.6781696475213979,12.531133466920725,0.4054591984508704,27.554299405150722,16.225151679504464,4.747106858976243,2,0.25,0.0,270.0,180.0
