run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,absorbed_mean_Wm2,runaway,land_summer_max_degC,land_winter_min_degC,land_seasonal_range_K,ocean_summer_max_degC,ocean_seasonal_range_K,dT_vs_baseline_K,dland_summer_max_vs_baseline_K,ddiag_summer_max_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om0,1.4306049871798832,0.2233245327237774,23.70168833365585,83.00347782631717,624.9962224050814,-87.56173929064646,185.5882607093535,,True,401.8614475898981,29,170.55640297402326,-87.61023972128372,-87.51323886000922,-80.5006745551992,-98.7956320650878,18.294957509888604,64.81288964694045,False,-71.51180102443308,-101.89468174819173,30.382880723758646,-87.78153670139291,8.747081692648905,-103.00694464879527,-85.72189620316603,-84.12562961654201,5.256907428428605,2,0.25,0.0,0.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om180,0.7923239872915679,0.2331602469643267,21.015434260483964,271.22049837127014,257.603640754542,67.6055264585098,340.7555264585098,90.0,False,477.07594614035645,25,557.3531475745328,68.06237974404343,67.14867317297616,44.109691256937026,31.61139684056898,12.498294416368047,388.02750470393494,True,45.948889634628365,24.600168546976754,21.34872108765161,42.65625235060956,4.613301773644672,52.160321100360996,31.73879445589543,40.4847361955942,5.055172319448047,1,0.25,0.0,0.0,180.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om270,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,-72.67288386748523,200.47711613251477,,True,399.4934319310725,32,226.49823578441658,-72.69920183225516,-72.64656590271528,-69.32413065433877,-85.48459822382009,16.160467569481312,86.0712273999237,False,-61.88647533338054,-89.32977077355513,27.443295440174587,-75.12817402511425,7.417397164526847,-88.11808922563404,-76.09657051211347,-72.94908571568159,4.312175009928982,1,0.25,0.0,0.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om90,1.0166818183807187,0.2811479078892679,25.93211793520845,176.12114869988952,374.4340848938256,14.632038637190977,287.78203863719096,64.15806723683289,False,724.0201133445147,16,343.01144691510746,13.819795617395991,15.444281656985968,17.9776385697532,-22.787112939602142,40.76475150935534,235.0772675793346,False,40.08561889874113,-31.22903991656451,71.31465881530565,-3.6500850298962804,12.349549026370688,-0.8131667209578275,25.875523720008196,14.352683508410376,4.7471068422819584,2,0.25,0.0,0.0,90.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om0,0.7923239872915679,0.2331602469643267,21.015434260483964,271.22049837127014,257.603640754542,67.6055264585098,340.7555264585098,90.0,False,477.07594614035645,25,557.3531475745328,68.06237974404343,67.14867317297616,44.109691256937026,31.61139684056898,12.498294416368047,388.02750470393494,True,45.948889634628365,24.600168546976754,21.34872108765161,42.65625235060956,4.613301773644672,52.160321100360996,31.73879445589543,40.4847361955942,5.055172319448047,1,0.25,0.0,180.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om180,1.4306049866744706,0.2233245331377317,23.70168832560552,83.00347775856739,624.9962220738778,-87.5617392511548,185.5882607488452,,True,401.861448181285,29,170.55640311112856,-87.61023968191527,-87.5132388203943,-80.50067450151666,-98.79563203492486,18.29495753340821,64.81288969904114,False,-71.51180095298486,-101.89468172065656,30.382880767671708,-87.78153666379542,8.747081697890081,-103.00694460930362,-85.7218961317178,-84.12562956285947,5.25690742720019,2,0.25,0.0,180.0,180.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om270,1.0166818177318506,0.2811479058077433,25.932117981665176,176.12114944395958,374.4340845353678,14.632038718737688,287.7820387187377,64.15806723683289,False,724.0201080791854,16,343.0114471349772,13.819795695852541,15.444281741622843,17.977638355972225,-22.787112813335412,40.76475116930764,235.07726769670677,False,40.085618433635744,-31.229039777563223,71.31465821119897,-3.6500850125747184,12.349548937404512,-0.8131666394111168,25.87552325490281,14.3526832946294,4.747106858976243,2,0.25,0.0,180.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om90,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,-72.67288386748523,200.47711613251477,,True,399.4934319310725,32,226.49823578441658,-72.69920183225516,-72.64656590271528,-69.32413065433877,-85.48459822382009,16.160467569481312,86.0712273999237,False,-61.88647533338054,-89.32977077355513,27.443295440174587,-75.12817402511425,7.417397164526847,-88.11808922563404,-76.09657051211347,-72.94908571568159,4.312175009928982,1,0.25,0.0,180.0,90.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om0,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,-72.67288386748523,200.47711613251477,,True,399.4934319310725,32,226.49823578441658,-72.69920183225516,-72.64656590271528,-69.32413065433877,-85.48459822382009,16.160467569481312,86.0712273999237,False,-61.88647533338054,-89.32977077355513,27.443295440174587,-75.12817402511425,7.417397164526847,-88.11808922563404,-76.09657051211347,-72.94908571568159,4.312175009928982,1,0.25,0.0,270.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om180,1.0166818177318506,0.2811479058077433,25.932117981665176,176.12114944395958,374.4340845353678,14.632038718737688,287.7820387187377,64.15806723683289,False,724.0201080791854,16,343.0114471349772,13.819795695852541,15.444281741622843,17.977638355972225,-22.787112813335412,40.76475116930764,235.07726769670677,False,40.085618433635744,-31.229039777563223,71.31465821119897,-3.6500850125747184,12.349548937404512,-0.8131666394111168,25.87552325490281,14.3526832946294,4.747106858976243,2,0.25,0.0,270.0,180.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om270,0.7923239908426015,0.2331602451178122,21.01543432349174,271.2204974362536,257.603642486332,67.60552560311703,340.755525603117,90.0,False,477.07594366159657,25,557.3531423248935,68.06237888701168,67.14867231922236,44.10969069953098,31.61139607321821,12.49829462631277,388.0275010337781,True,45.94888874153507,24.60016774748557,21.3487209940495,42.656251649743076,4.613301815522426,52.160320244968226,31.738793562802137,40.484735638188155,5.055172302911926,1,0.25,0.0,270.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om90,1.4306049866744706,0.2233245331377317,23.70168832560552,83.00347775856739,624.9962220738778,-87.5617392511548,185.5882607488452,,True,401.861448181285,29,170.55640311112856,-87.61023968191527,-87.5132388203943,-80.50067450151666,-98.79563203492486,18.29495753340821,64.81288969904114,False,-71.51180095298486,-101.89468172065656,30.382880767671708,-87.78153666379542,8.747081697890081,-103.00694460930362,-85.7218961317178,-84.12562956285947,5.25690742720019,2,0.25,0.0,270.0,90.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om0,1.0166818183807187,0.2811479078892679,25.93211793520845,176.12114869988952,374.4340848938256,14.632038637190977,287.78203863719096,64.15806723683289,False,724.0201133445147,16,343.01144691510746,13.819795617395991,15.444281656985968,17.9776385697532,-22.787112939602142,40.76475150935534,235.0772675793346,False,40.08561889874113,-31.22903991656451,71.31465881530565,-3.6500850298962804,12.349549026370688,-0.8131667209578275,25.875523720008196,14.352683508410376,4.7471068422819584,2,0.25,0.0,90.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om180,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,-72.67288386748523,200.47711613251477,,True,399.4934319310725,32,226.49823578441658,-72.69920183225516,-72.64656590271528,-69.32413065433877,-85.48459822382009,16.160467569481312,86.0712273999237,False,-61.88647533338054,-89.32977077355513,27.443295440174587,-75.12817402511425,7.417397164526847,-88.11808922563404,-76.09657051211347,-72.94908571568159,4.312175009928982,1,0.25,0.0,90.0,180.0
