run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,years_to_equilibrium,T_overshoot_K,max_hemis_asymmetry_K,max_hemis_asymmetry_year,final_hemis_asymmetry_K,iceline_start_deg,iceline_end_deg,iceline_migration_deg,iceline_peak_rate_deg_per_yr,T_year1_degC,T_final_degC,diag_seasonal_range_K,dT_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om0,1.4306049871798832,0.2233245327237774,23.70168833365585,83.00347782631717,624.9962224050814,7,0.0,0.8234200562548804,1,6.394884621840902e-13,,,,,-9.113073402878266,-66.26177528855104,10.634864321200197,-81.30152908202795,5.256907428428605,2,0.25,0.0,0.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om180,0.7923239872915679,0.2331602469643267,21.015434260483964,271.22049837127014,257.603640754542,16,0.0,1.1710630377161557,1,2.4158453015843406e-13,90.0,90.0,0.0,0.0,28.834224224880785,88.38636588675996,7.123486182600246,73.34661209328304,5.055172319448047,1,0.25,0.0,0.0,180.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om270,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,10,2.842170943040401e-14,0.9523986743390265,1,0.0,56.4426902380793,21.510188266887486,-34.93250197119181,34.93250197119181,2.0578585938261544,-56.09032181822232,9.325088564324801,-71.13007561169924,4.312175009928982,1,0.25,0.0,0.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om90,1.0166818183807187,0.2811479078892679,25.93211793520845,176.12114869988952,374.4340848938256,7,9.684697488410166e-12,9.036446210844165,1,0.020969149735506676,58.82116446134409,75.16488841802429,16.3437239566802,5.336902775488802,14.828451881619536,15.759790356214857,14.938631122631099,0.7200365627379437,4.7471068422819584,2,0.25,0.0,0.0,90.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om0,0.7923239872915679,0.2331602469643267,21.015434260483964,271.22049837127014,257.603640754542,16,0.0,1.1710630377161557,1,2.4158453015843406e-13,90.0,90.0,0.0,0.0,28.834224224880785,88.38636588675996,7.123486182600246,73.34661209328304,5.055172319448047,1,0.25,0.0,180.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om180,1.4306049866744706,0.2233245331377317,23.70168832560552,83.00347775856739,624.9962220738778,7,5.684341886080802e-14,0.8234200509858614,1,4.689582056016661e-13,,,,,-9.113073377927849,-66.26177526362082,10.634864327394737,-81.30152905709774,5.25690742720019,2,0.25,0.0,180.0,180.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om270,1.0166818177318506,0.2811479058077433,25.932117981665176,176.12114944395958,374.4340845353678,7,9.64384128110396e-12,9.03644621113815,1,0.020969152753492537,58.82116446134409,75.16488841802429,16.3437239566802,5.336902775488802,14.828451899602047,15.75979041535886,14.938631019890098,0.7200366218819472,4.747106858976243,2,0.25,0.0,180.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om90,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,10,2.842170943040401e-14,0.9523986743390265,1,0.0,56.4426902380793,21.510188266887486,-34.93250197119181,34.93250197119181,2.0578585938261544,-56.09032181822232,9.325088564324801,-71.13007561169924,4.312175009928982,1,0.25,0.0,180.0,90.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om0,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,10,2.842170943040401e-14,0.9523986743390265,1,0.0,56.4426902380793,21.510188266887486,-34.93250197119181,34.93250197119181,2.0578585938261544,-56.09032181822232,9.325088564324801,-71.13007561169924,4.312175009928982,1,0.25,0.0,270.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om180,1.0166818177318506,0.2811479058077433,25.932117981665176,176.12114944395958,374.4340845353678,7,9.64384128110396e-12,9.03644621113815,1,0.020969152753492537,58.82116446134409,75.16488841802429,16.3437239566802,5.336902775488802,14.828451899602047,15.75979041535886,14.938631019890098,0.7200366218819472,4.747106858976243,2,0.25,0.0,270.0,180.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om270,0.7923239908426015,0.2331602451178122,21.01543432349174,271.2204974362536,257.603642486332,16,0.0,1.1710631459420462,1,9.094947017729282e-13,90.0,90.0,0.0,0.0,28.83422396900216,88.38636413070171,7.123486215411759,73.34661033722479,5.055172302911926,1,0.25,0.0,270.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om90,1.4306049866744706,0.2233245331377317,23.70168832560552,83.00347775856739,624.9962220738778,7,5.684341886080802e-14,0.8234200509858614,1,4.689582056016661e-13,,,,,-9.113073377927849,-66.26177526362082,10.634864327394737,-81.30152905709774,5.25690742720019,2,0.25,0.0,270.0,90.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om0,1.0166818183807187,0.2811479078892679,25.93211793520845,176.12114869988952,374.4340848938256,7,9.684697488410166e-12,9.036446210844165,1,0.020969149735506676,58.82116446134409,75.16488841802429,16.3437239566802,5.336902775488802,14.828451881619536,15.759790356214857,14.938631122631099,0.7200365627379437,4.7471068422819584,2,0.25,0.0,90.0,0.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om180,1.2306201758912432,0.1267112473459505,22.581199552910444,52.097455203989526,498.6362375045165,10,2.842170943040401e-14,0.9523986743390265,1,0.0,56.4426902380793,21.510188266887486,-34.93250197119181,34.93250197119181,2.0578585938261544,-56.09032181822232,9.325088564324801,-71.13007561169924,4.312175009928982,1,0.25,0.0,90.0,180.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om270,1.4306049866744706,0.2233245331377317,23.70168832560552,83.00347775856739,624.9962220738778,7,5.684341886080802e-14,0.8234200509858614,1,4.689582056016661e-13,,,,,-9.113073377927849,-66.26177526362082,10.634864327394737,-81.30152905709774,5.25690742720019,2,0.25,0.0,90.0,270.0
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om90,0.7923239872915679,0.2331602469643267,21.015434260483964,271.22049837127014,257.603640754542,16,0.0,1.1710630377161557,1,2.4158453015843406e-13,90.0,90.0,0.0,0.0,28.834224224880785,88.38636588675996,7.123486182600246,73.34661209328304,5.055172319448047,1,0.25,0.0,90.0,90.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om0__om0,1.3788260121350175,0.204388457249952,23.304570159776578,71.49021877675223,591.373680858856,8,5.684341886080802e-14,0.2599817174582526,2,3.836930773104541e-13,,,,,-6.340846730395563,-64.03034186510351,10.372655631203841,-79.07009565858043,5.716894492920149,2,0.25,30.0,0.0,0.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om0__om180,0.8829994133590646,0.1596977056968631,24.930210706507143,286.80832446843897,303.0668345616973,12,0.0,0.9385165583518571,1,1.3073986337985843e-12,81.4509211694784,90.0,8.549078830521594,8.549078830521594,22.380882749933463,49.59339554162423,10.752758950019928,34.55364174814732,4.912200031792338,2,0.25,30.0,0.0,180.0
