run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_K,T_equator_K,T_pole_K,T_max_anywhere_K,T_min_anywhere_K,equator_seasonal_range_K,pressure_mean_Pa,pressure_min_Pa,pressure_max_Pa,pressure_swing_frac,peak_cap_kg_m2,frac_year_equator_above_273K,frac_year_liquid_water_possible,spinup_years,S_mean_Wm2,collapsed_fraction,min_airborne_fraction,atmosphere_collapsed,permanently_collapsed
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om180,1.3359296085697534,0.167947182362771,27.040160249628705,322.40188928586923,563.9885087718209,216.82739871947373,234.24143457508734,175.17739918423666,277.65376753001874,147.04496934009399,42.64926711054914,631.8972378484002,550.9532149082344,710.5460110849302,0.22460585758973461,795.9029131239761,0.0,0.0,3,193.39441754503818,0.0,0.7425245483938469,False,False
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om270,2.087867632257701,0.1658770156500159,28.537266774088657,140.4012598203501,1101.9181453912424,172.25054151477497,187.11112465590764,135.77868532231886,216.56752958163113,127.34052166992393,33.02697924625208,111.7844444286154,19.349474792735894,192.1863523907075,0.899319204761225,6346.786687856472,0.0,0.0,49,79.14997758967243,0.0,0.026077459289401528,False,False
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om0__om90,1.0990178273063071,0.4916307287303984,19.457031220087156,262.1763193309436,420.82545162553663,238.0987924610734,255.97537164505974,199.57048765154008,376.6462682862105,147.3202266986834,151.82038580342282,671.5542625418541,573.6893914175034,741.1715120059588,0.22596945224617437,873.2159347705814,0.29444444444444445,0.23333333333333334,3,323.49558129470233,0.0,0.7731662957109211,False,False
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om0,1.3359296085697534,0.167947182362771,27.040160249628705,322.40188928586923,563.9885087718209,216.82739871947373,234.24143457508734,175.17739918423666,277.65376753001874,147.04496934009399,42.64926711054914,631.8972378484002,550.9532149082344,710.5460110849302,0.22460585758973461,795.9029131239761,0.0,0.0,3,193.39441754503818,0.0,0.7425245483938469,False,False
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om270,1.0990158926631568,0.4916309468747251,19.457107068032407,262.1760919632296,420.82434043329897,238.09898356488412,255.9755764584384,199.57080619213772,376.64674749523857,147.3202267453069,151.82060631037908,671.5543396143423,573.6893953396415,741.1715378216531,0.2259694739145699,873.2141613577187,0.29444444444444445,0.23333333333333334,3,323.4967659732631,0.0,0.7731663009968215,False,False
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om180__om90,2.087867632257701,0.1658770156500159,28.537266774088657,140.4012598203501,1101.9181453912424,172.25054151477497,187.11112465590764,135.77868532231886,216.56752958163113,127.34052166992393,33.02697924625208,111.7844444286154,19.349474792735894,192.1863523907075,0.899319204761225,6346.786687856472,0.0,0.0,49,79.14997758967243,0.0,0.026077459289401528,False,False
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om0,2.087867632257701,0.1658770156500159,28.537266774088657,140.4012598203501,1101.9181453912424,172.25054151477497,187.11112465590764,135.77868532231886,216.56752958163113,127.34052166992393,33.02697924625208,111.7844444286154,19.349474792735894,192.1863523907075,0.899319204761225,6346.786687856472,0.0,0.0,49,79.14997758967243,0.0,0.026077459289401528,False,False
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om180,1.0990158926631568,0.4916309468747251,19.457107068032407,262.1760919632296,420.82434043329897,238.09898356488412,255.9755764584384,199.57080619213772,376.64674749523857,147.3202267453069,151.82060631037908,671.5543396143423,573.6893953396415,741.1715378216531,0.2259694739145699,873.2141613577187,0.29444444444444445,0.23333333333333334,3,323.4967659732631,0.0,0.7731663009968215,False,False
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om270__om270,1.3359296085697534,0.167947182362771,27.040160249628705,322.40188928586923,563.9885087718209,216.82739871947373,234.24143457508734,175.17739918423666,277.65376753001874,147.04496934009399,42.64926711054914,631.8972378484002,550.9532149082344,710.5460110849302,0.22460585758973461,795.9029131239761,0.0,0.0,3,193.39441754503818,0.0,0.7425245483938469,False,False
20260724_230314__rp0p25__vinf25__inc0__toff56210__Om90__om0,1.0990178273063071,0.4916307287303984,19.457031220087156,262.1763193309436,420.82545162553663,238.0987924610734,255.97537164505974,199.57048765154008,376.6462682862105,147.3202266986834,151.82038580342282,671.5542625418541,573.6893914175034,741.1715120059588,0.22596945224617437,873.2159347705814,0.29444444444444445,0.23333333333333334,3,323.49558129470233,0.0,0.7731662957109211,False,False
