run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,absorbed_mean_Wm2,runaway,dT_vs_baseline_K,ddiag_summer_max_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om0,1.2724309932693156,0.1480295777837539,22.3080720699022,141.3897021003132,524.2629280138665,-58.637044087149185,214.5129559128508,,True,374.40078600313416,17,212.49115569564105,-58.63704408735863,-58.63704408693974,-58.99377850397153,-67.69663215458762,8.702853650616092,80.7485352633396,False,-73.68193986869566,-57.34556146941116,4.44045612681194,1,0.25,0.0,0.0,0.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om105,1.1609965140046894,0.2712830388759514,21.568774546726893,187.0793154009193,456.92420402824064,-49.5873253359163,223.5626746640837,,True,444.02862141084324,20,262.2622223633628,-49.58732533639882,-49.587325335433746,-51.33192525137018,-59.203193140138076,7.871267888767896,99.66239758108077,False,-64.63222111746278,-49.68370821680981,4.526563578215295,2,0.25,0.0,0.0,105.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om120,0.8670418180609165,0.306074081003354,23.412151135416806,230.0485648579973,294.88851391044926,60.84332233623924,333.9933223362392,90.0,False,594.5859876068887,25,475.4201504326012,60.843322329785565,60.843322342692936,36.31039678771706,27.823366523003823,8.487030264713237,330.4627846332781,True,45.79842655469277,37.95861382227743,5.496043269095795,2,0.25,0.0,0.0,120.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om135,0.7126726173071757,0.4446142746109841,24.63575351962269,246.55133242139345,219.75203169541024,151.2527897432686,424.4027897432686,90.0,False,915.3882030266993,36,747.9019773633618,151.25278974184664,151.25278974469055,109.56924298091016,103.15102866800252,6.4182143129076366,519.4186281722318,True,136.20789396172214,111.21746001547054,6.368529632556215,2,0.25,0.0,0.0,135.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om15,1.4437831612991696,0.2190211151202896,21.52280020306777,141.46205282458726,633.6519109199864,-66.85557942208071,206.29442057791925,,True,330.4483842275039,14,167.2895946827251,-66.85557942224956,-66.85557942191184,-66.09289382672142,-74.74495191529832,8.652058088576894,63.57180717452517,False,-81.90047520362718,-64.44467679216105,4.677254508049604,1,0.25,0.0,0.0,15.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,0.6289017544362863,0.5667499018280256,24.63721379920013,254.14771193269357,182.16796203218323,249.6950683035294,522.8450683035294,90.0,False,1444.5189521252553,44,1044.151095215486,249.695068302488,249.69506830457084,188.67323703065983,182.06759335524433,6.605643675415507,725.1631323402097,True,234.65017252198294,190.3214540652202,7.023468603178353,1,0.25,0.0,0.0,150.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,0.5913460801346785,0.6379363457500438,22.61473472220027,270.7643024726689,166.0964590075818,323.16952133676136,596.3195213367613,90.0,False,1561.8301042981757,49,1263.4955422226658,323.16952133674073,323.16952133678217,247.11321878725377,237.90210209874263,9.21111668851114,878.7247714953822,True,308.1246255552149,248.76143582181413,7.198059057912554,1,0.25,0.0,0.0,165.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,0.6317414828764584,0.5216645060766804,23.075609112841317,300.12017916473167,183.40318929921605,235.15071063721783,508.3007106372178,90.0,False,1558.951659267552,44,999.2946991190908,235.1507106387186,235.15071063571696,176.39674561977046,164.10965394991146,12.287091669858995,694.7653604856296,True,220.10581485567135,178.04496265433082,6.741626987071451,1,0.25,0.0,0.0,180.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om195,0.7234247493364551,0.3103432736565881,23.557638230091257,304.15814207269773,224.74385918947277,130.16231420469057,403.31231420469055,90.0,False,807.998116809324,35,683.9153935199031,130.16231420683837,130.16231420254277,91.13097055222123,80.36601732502062,10.764953227200607,475.3395072114045,True,115.1174184231441,92.7791875867816,6.005885691188023,2,0.25,0.0,0.0,195.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om210,0.730504441611478,0.272924402776433,24.790628606491502,296.0315614075648,228.05105288721097,122.93841788962135,396.0884178896213,90.0,False,729.0677838681955,34,662.767679749668,122.93841789196699,122.93841788727568,86.07951506837793,75.64743543005245,10.432079638325476,460.2416001163847,True,107.89352210807488,87.7277321029383,5.789981707499541,2,0.25,0.0,0.0,210.0
