run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,absorbed_mean_Wm2,runaway,land_summer_max_degC,land_winter_min_degC,land_seasonal_range_K,ocean_summer_max_degC,ocean_seasonal_range_K,dT_vs_baseline_K,dland_summer_max_vs_baseline_K,ddiag_summer_max_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om0,1.2724309932693156,0.1480295777837539,22.3080720699022,141.3897021003132,524.2629280138665,-58.63699898828956,214.5130010117104,,True,374.40078600313416,24,212.49115569564105,-58.63700865681138,-58.63698931976774,-54.86562875019509,-68.95131685385908,14.08568810366399,80.74853526333956,False,-48.71942052074323,-71.97865736343182,23.259236842688594,-60.08557956951647,6.765273188306693,-73.9558446972679,-63.36259171426692,-59.99648957862024,4.44045612681194,1,0.25,0.0,0.0,0.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om105,1.1609965140046894,0.2712830388759514,21.568774546726893,187.0793154009193,456.92420402824064,-49.58728303079863,223.56271696920135,,True,444.02862141084324,29,262.2622223633628,-49.587295810042846,-49.58727025155442,-45.129842895939944,-60.89817600796145,15.768333112021509,99.66239758108114,False,-37.62320758442977,-64.19434177612474,26.571134191694973,-52.33796373463167,6.2799025906219725,-64.90612873977697,-52.26637877795346,-50.260703724365094,4.526563578215295,2,0.25,0.0,0.0,105.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om120,0.8670418180609165,0.306074081003354,23.412151135416806,230.0485648579973,294.88851391044926,60.8432384266697,333.9932384266697,90.0,False,594.5859876068887,37,475.4201504326012,60.84326783091092,60.843209022428475,47.134200383422076,23.647124336317823,23.487076047104253,330.4627846332779,True,58.65697200855227,16.8915909741954,41.76538103435688,34.98300825487465,6.522779697019878,45.52439271769136,44.01380081502858,42.00333955499693,5.496043269095795,2,0.25,0.0,0.0,120.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om135,0.7126726173071757,0.4446142746109841,24.63575351962269,246.55133242139345,219.75203169541024,151.2526666002883,424.4026666002883,90.0,False,915.3882030266993,53,747.9019773633618,151.25270580437643,151.25262739620013,131.3242414848763,94.67999673258188,36.64424475229441,519.4186281722333,True,152.07220788111488,86.75876155417404,65.31344632694083,108.21327892221491,5.3215910290327315,135.93382089130998,137.42903668759118,126.19338065645115,6.368529632556215,2,0.25,0.0,0.0,135.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om15,1.4437831612991696,0.2190211151202896,21.52280020306777,141.46205282458726,633.6519109199864,-66.85554569949929,206.2944543005007,,True,330.4483842275039,20,167.2895946827251,-66.8555529278956,-66.85553847110296,-62.11228670884683,-75.44904641815855,13.336759709311714,63.571807174525084,False,-56.17444684584921,-77.65838619794809,21.48393935209888,-67.15580577214578,6.823617089943625,-82.17439140847763,-70.8176180393729,-67.24314753727198,4.677254508049604,1,0.25,0.0,0.0,15.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,0.6289017544362863,0.5667499018280256,24.63721379920013,254.14771193269357,182.16796203218323,249.69490486844245,522.8449048684424,90.0,False,1444.5189521252553,65,1044.151095215486,249.69496005205664,249.69484968482817,236.08316771031951,164.63401148766343,71.44915622265609,725.1631323402098,True,279.22532829584924,147.9038933197403,131.32143497610895,188.2225257551026,6.898236618632808,234.37605915946412,264.58215710232554,230.95230688189437,7.023468603178353,1,0.25,0.0,0.0,150.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,0.5913460801346785,0.6379363457500438,22.61473472220027,270.7643024726689,166.0964590075818,323.1693136100412,596.3193136100411,90.0,False,1561.8301042981757,72,1263.4955422226658,323.1693776170742,323.16924960300804,332.475590286735,212.91916346034185,119.55642682639314,878.7247714954015,True,410.55487921122074,188.358000406291,222.19687880492972,248.2614011222436,11.277612580457998,307.8504679010628,395.91170801769704,327.3447294583098,7.198059057912554,1,0.25,0.0,0.0,165.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,0.6317414828764584,0.5216645060766804,23.075609112841317,300.12017916473167,183.40318929921605,235.1504960619525,508.30049606195246,90.0,False,1558.951659267552,64,999.2946991190908,235.15055425248934,235.15043787141582,236.4324601330834,152.3374795451657,84.09498058791769,694.7653604856374,True,295.2547535430629,135.73656635053356,159.51818719252935,176.36822497285553,10.359527954487874,219.83165035297418,280.6115823495392,231.30159930465825,6.741626987071451,1,0.25,0.0,0.0,180.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om195,0.7234247493364551,0.3103432736565881,23.557638230091257,304.15814207269773,224.74385918947277,130.1621671139678,403.3121671139678,90.0,False,807.998116809324,51,683.9153935199031,130.16220794179415,130.16212628614147,105.2615781725599,73.06032615000811,32.201252022551785,475.33950721140445,True,123.13017215378257,63.305963792142244,59.82420836164032,90.05886635328709,7.829587024278382,114.84332140498945,108.48700096025888,100.13071734413475,6.005885691188023,2,0.25,0.0,0.0,195.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om210,0.730504441611478,0.272924402776433,24.790628606491502,296.0315614075648,228.05105288721097,122.93828824893151,396.08828824893146,90.0,False,729.0677838681955,50,662.767679749668,122.93832905746451,122.9382474403985,94.41103954115275,67.40698634427417,27.004053196878573,460.2416001163847,True,107.11750435188553,56.78447484110447,50.33302951078106,84.7502463560781,7.263263467474516,107.61944253995317,92.47433315836184,89.2801787127276,5.789981707499541,2,0.25,0.0,0.0,210.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om225,0.7292233098388674,0.2643638209762485,25.53780844098153,293.0404019088087,227.45139469386584,123.04567123859799,396.195671238598,90.0,False,723.8259570311458,50,663.4519557444637,123.0457134603634,123.04562901683254,93.78203103435723,67.35710775552411,26.42492327883312,460.46605057361313,True,105.42929531725153,56.09906348060917,49.33023183664236,85.36376303980687,7.302896154646106,107.72682552961965,90.78612412372783,88.65117020593209,5.51319745521436,1,0.25,0.0,0.0,225.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om240,0.7421654369816182,0.2464558609261114,25.811523533862964,295.77442764056093,233.5333332552369,114.34763870700735,387.49763870700735,90.0,False,722.0233974119993,49,637.3880007874528,114.34767455023902,114.34760286377566,87.25795643208536,59.86605722544681,27.391899206638556,442.2870722825909,True,99.124722536978,48.20022571799719,50.924496818980806,78.73522888171664,7.847284825064619,99.028792998029,84.4815513434543,82.12709560366022,5.126177368971944,1,0.25,0.0,0.0,240.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om255,0.7613888806351929,0.2236550216367942,25.83459252884904,301.5094325059433,242.66524790132897,102.65559094236515,375.80559094236514,90.0,False,721.1276305626699,47,602.182598308924,102.65562386225935,102.65555802247093,78.82486986602805,49.95399357773212,28.870876288295932,417.85065106930057,True,91.41728208947039,38.10160059850211,53.31568149096828,69.58444893812049,8.554871704465278,87.33674523338681,76.7741108959467,73.69400903760291,5.064446270278673,1,0.25,0.0,0.0,255.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om270,0.785013923172031,0.2005843250399924,25.677431095501944,310.2573262070263,254.046858979686,89.86326081381327,363.01326081381325,90.0,False,721.3042999320137,44,563.5867192104282,89.86329693073287,89.86322469689367,69.84908526399425,39.26496690512723,30.584118358867023,391.1147263574113,True,83.5456042127419,27.44181085687286,56.103793355869044,59.46902964453149,9.32250973049564,74.54441510483493,68.90243301921822,64.71822443556911,6.592579946699054,2,0.25,0.0,0.0,270.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om285,0.8133167581718908,0.1726646126902244,25.32099347151846,319.1261037888396,267.9090421986754,76.17211522076248,349.32211522076244,90.0,False,703.942548521664,41,522.216971551947,76.17215178056644,76.17207866095849,59.34665234541429,28.23583215835641,31.110820187057882,362.50023833204466,True,73.39959435507176,16.758029968665838,56.64156438640592,48.46683509180625,9.857395669882457,60.85326951178414,58.756423161548064,54.21579151698914,7.610621360948162,2,0.25,0.0,0.0,285.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om30,1.36563275147749,0.194085566631683,20.76464795313089,120.8780170601663,582.9062018030027,-63.456992167962454,209.69300783203752,,True,360.7017452355175,22,185.98079294607047,-63.45699892874284,-63.45698540718207,-58.82484224421155,-73.09165140956605,14.266809165354502,70.67479067443362,False,-52.26322848088295,-75.641421301881,23.378192820998045,-64.30713263733873,7.025384263341508,-78.7758378769408,-66.90639967440664,-63.9557030726367,4.523302703448395,1,0.25,0.0,0.0,30.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om300,0.8536975760273431,0.1738047927168935,24.592695113396985,327.19970107214954,288.1070348595154,60.267022581235445,333.4170225812354,90.0,False,657.2884035793268,38,474.0790484097138,60.26705080262819,60.2669943598427,46.05621827253489,16.12997399418326,29.926244278351632,329.2584766628996,True,60.05052866191136,5.780664482304583,54.26986417960678,35.20921257966414,9.904498185429361,44.94817687225711,45.407357468387666,40.92535744410974,4.587710992012752,1,0.25,0.0,0.0,300.0
