run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,absorbed_mean_Wm2,runaway,dT_vs_baseline_K,ddiag_summer_max_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om0,1.2724309932693156,0.1480295777837539,22.3080720699022,141.3897021003132,524.2629280138665,-76.12953948668184,197.02046051331814,,True,374.40078600313416,22,212.49115569564105,-76.13388902519586,-76.1251899481678,-77.15318102809924,-85.91253949386233,8.759358465763086,80.74853526333959,False,-91.0810328501488,-72.58029213919747,4.44045612681194,1,0.25,0.0,0.0,0.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om105,1.1609965140046894,0.2712830388759514,21.568774546726893,187.0793154009193,456.92420402824064,-64.17178992416672,208.97821007583326,,True,444.02862141084324,24,262.2622223633628,-64.16873567625545,-64.17484417207801,-66.49450455350633,-74.39009761627133,7.895593062765002,99.66239758108115,False,-79.12328328763368,-61.92161566460456,4.526563578215295,2,0.25,0.0,0.0,105.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om120,0.8670418180609165,0.306074081003354,23.412151135416806,230.0485648579973,294.88851391044926,53.25750763589743,326.4075076358974,90.0,False,594.5859876068887,18,475.4201504326012,53.39815821408403,53.116857057710845,33.33745701053927,24.82128487201123,8.516172138528038,330.4627846332783,True,38.30601427243047,37.91034589944104,5.496043269095795,2,0.25,0.0,0.0,120.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om135,0.7126726173071757,0.4446142746109841,24.63575351962269,246.55133242139345,219.75203169541024,94.64153728653217,367.79153728653216,90.0,False,915.3882030266993,16,747.9019773633618,94.83948530624241,94.44358926682192,69.87008515920147,63.47026984335724,6.399815315844229,519.4186281722315,True,79.6900439230652,74.44297404810324,6.368529632556215,2,0.25,0.0,0.0,135.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om15,1.4437831612991696,0.2190211151202896,21.52280020306777,141.46205282458726,633.6519109199864,-88.44987226746348,184.7001277325365,,True,330.4483842275039,21,167.2895946827251,-88.45602414356297,-88.44372039136395,-88.44853680221033,-97.17525772485783,8.726720922647502,63.571807174525254,False,-103.40136563093044,-83.87564791330855,4.677254508049604,1,0.25,0.0,0.0,15.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,0.6289017544362863,0.5667499018280256,24.63721379920013,254.14771193269357,182.16796203218323,126.12673502329274,399.2767350232927,90.0,False,1444.5189521252553,15,1044.151095215486,126.40682927031452,125.84664077627095,95.18024488691503,88.3992021755555,6.781042711359532,725.1631323402164,True,111.17524165982577,99.7531337758168,7.023468603178353,1,0.25,0.0,0.0,150.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om165,0.5913460801346785,0.6379363457500438,22.61473472220027,270.7643024726689,166.0964590075818,145.10882748505347,418.2588274850534,90.0,False,1561.8301042981757,15,1263.4955422226658,145.44110438706676,144.7765505830402,110.52824921198652,101.08448139751523,9.443767814471286,878.7247714953878,True,130.1573341215865,115.10113810088829,7.198059057912554,1,0.25,0.0,0.0,165.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,0.6317414828764584,0.5216645060766804,23.075609112841317,300.12017916473167,183.40318929921605,121.99990842543335,395.1499084254333,90.0,False,1558.951659267552,15,999.2946991190908,122.2030663109976,121.79675053986907,91.77020348719957,79.57784126549122,12.19236222170835,694.7653604856336,True,107.04841506196638,96.34309237610134,6.741626987071451,1,0.25,0.0,0.0,180.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om195,0.7234247493364551,0.3103432736565881,23.557638230091257,304.15814207269773,224.74385918947277,86.69224143808859,359.84224143808854,90.0,False,807.998116809324,16,683.9153935199031,86.80245182762512,86.58203104855208,61.86928972420754,51.14137512188556,10.727914602321981,475.3395072114045,True,71.74074807462162,66.44217861310932,6.005885691188023,2,0.25,0.0,0.0,195.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om210,0.730504441611478,0.272924402776433,24.790628606491502,296.0315614075648,228.05105288721097,83.84724980034844,356.9972498003484,90.0,False,729.0677838681955,16,662.767679749668,83.96000843273656,83.73449116796031,60.01685869292384,49.632057719299496,10.384800973624344,460.2416001163845,True,68.89575643688147,64.58974758182562,5.789981707499541,2,0.25,0.0,0.0,210.0
