run,Score,Earth_s,Earth_da_AU,Earth_de,n_ejected,ejected_bodies,top_impact_body,top_impact_raw_r,bh_rp_au,bh_vinf_kms,bh_inc_deg,bh_tperi_offset_days,bh_Omega_deg,bh_omega_deg
20260811_184731__rp1p25__vinf25__inc30__toff59132__Om0__om105,11.17456532232009,1.3978266555815735,-2.6667792790049325,6.354299089573674,3,"Venus,Earth,Moon",Venus,109.68728526090383,1.25,25.0,30.0,59132.0,0.0,105.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om180__om285,11.174562911427916,1.3978261724665482,-2.666778965713809,6.354292771879996,3,"Venus,Earth,Moon",Venus,109.68728645283056,1.25,25.0,-30.0,59132.0,180.0,285.0
20260811_184731__rp1p5__vinf25__incm30__toff59132__Om180__om270,10.456707809662076,1.0621040563538264,-1.7175840426201343,3.67804573245742,3,"Venus,Earth,Moon",Venus,1530.6088072628945,1.5,25.0,-30.0,59132.0,180.0,270.0
20260811_184731__rp1p5__vinf25__inc30__toff59132__Om0__om90,10.456707806652817,1.0621040563426076,-1.717584042616255,3.678045732344237,3,"Venus,Earth,Moon",Venus,1530.6087968300374,1.5,25.0,30.0,59132.0,0.0,90.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om0__om120,9.107261298125643,0.6040240513828082,2.2005063206580715,0.8303542253603549,3,"Mercury,Jupiter,Neptune",Mercury,846.6640971763502,1.0,25.0,30.0,59132.0,0.0,120.0
20260811_184731__rp1__vinf25__incm30__toff59132__Om180__om300,9.106798155146727,0.6039444677115737,2.199160507671668,0.8302197563655567,3,"Mercury,Jupiter,Neptune",Mercury,846.6993170017882,1.0,25.0,-30.0,59132.0,180.0,300.0
20260811_184731__rp1p25__vinf25__inc30__toff59132__Om90__om15,8.60623088135468,1.1914240316217801,-1.2136438527658835,3.6366589647845657,3,"Earth,Neptune,Moon",Moon,9.898211272841428,1.25,25.0,30.0,59132.0,90.0,15.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om270__om195,8.606230880887704,1.1914240315300553,-1.2136438528416302,3.636658964345641,3,"Earth,Neptune,Moon",Moon,9.898211469916145,1.25,25.0,-30.0,59132.0,270.0,195.0
20260811_184731__rp1__vinf25__incm30__toff59132__Om180__om270,8.52223544134555,0.8406840268942308,-2.003750776013458,1.1947582445839944,3,"Venus,Earth,Moon",Venus,272.7058316555578,1.0,25.0,-30.0,59132.0,180.0,270.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om0__om90,8.522235278787385,0.8406839920768294,-2.00375085553727,1.194824100642507,3,"Venus,Earth,Moon",Venus,272.70583889384596,1.0,25.0,30.0,59132.0,0.0,90.0
20260811_184731__rp0p75__vinf25__incm30__toff59132__Om180__om255,8.390890902504589,1.0695043116895468,-1.3356928966231814,2.844948904947929,2,"Earth,Moon",Moon,111.2935338598523,0.75,25.0,-30.0,59132.0,180.0,255.0
20260811_184731__rp0p75__vinf25__inc30__toff59132__Om0__om75,8.390764481096541,1.0694790272515744,-1.3356931693056668,2.844271465064182,2,"Earth,Moon",Moon,111.2092146654054,0.75,25.0,30.0,59132.0,0.0,75.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om180__om270,8.020658031316811,1.0434761966752903,-1.496673232688431,3.454499952528117,3,"Venus,Earth,Moon",Moon,146.02041956972997,1.25,25.0,-30.0,59132.0,180.0,270.0
20260811_184731__rp1p25__vinf25__inc30__toff59132__Om0__om90,8.018944065399525,1.0431334034841642,-1.4966766645550165,3.4506431759849434,3,"Venus,Earth,Moon",Moon,146.18720950502203,1.25,25.0,30.0,59132.0,0.0,90.0
20260811_184731__rp1p5__vinf25__incm30__toff59132__Om180__om285,7.89513567042545,1.0842472503794618,-1.5143845257722337,3.9464965093798585,2,"Earth,Moon",Earth,7.506412643790657,1.5,25.0,-30.0,59132.0,180.0,285.0
20260811_184731__rp1p5__vinf25__inc30__toff59132__Om0__om105,7.8951356703990765,1.0842472503633918,-1.5143845255580186,3.9464965090773054,2,"Earth,Moon",Earth,7.506412643487966,1.5,25.0,30.0,59132.0,0.0,105.0
20260811_184731__rp0p25__vinf25__incm30__toff59132__Om180__om105,7.89013448206198,0.31713484655043,-0.1944798994074781,0.1572438040422541,2,"Mercury,Uranus",Mercury,2264.1830877676625,0.25,25.0,-30.0,59132.0,180.0,105.0
20260811_184731__rp0p25__vinf25__inc30__toff59132__Om0__om285,7.890133006501895,0.3171348466683748,-0.194479899403186,0.1572438042547007,2,"Mercury,Uranus",Mercury,2264.1753901869247,0.25,25.0,30.0,59132.0,0.0,285.0
20260811_184731__rp0p25__vinf25__incm60__toff59132__Om180__om90,7.826862923270227,0.33635821575319236,-0.2074233824158937,0.1748746723579221,2,"Mercury,Uranus",Mercury,2541.747627133249,0.25,25.0,-60.0,59132.0,180.0,90.0
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om0__om270,7.826862882850559,0.3363582156480237,-0.2074233818394548,0.1748746729274067,2,"Mercury,Uranus",Mercury,2541.747393590539,0.25,25.0,60.0,59132.0,0.0,270.0
