run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_K,T_equator_K,T_pole_K,T_max_anywhere_K,T_min_anywhere_K,equator_seasonal_range_K,pressure_mean_Pa,pressure_min_Pa,pressure_max_Pa,pressure_swing_frac,peak_cap_kg_m2,frac_year_equator_above_273K,frac_year_above_triple_point,frac_year_liquid_water_possible,frac_year_liquid_water_best_lat,best_water_lat_deg,spinup_years,S_mean_Wm2,collapsed_fraction,min_airborne_fraction,atmosphere_collapsed,permanently_collapsed
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om0,1.0159172344354486,0.5732185937907044,30.871524929886643,194.9268078581595,374.00928525061886,243.36075889208334,262.6908522588583,190.74416676327724,444.6770205002178,147.83531877958916,200.60566745188933,691.0916515552615,618.5364051363855,742.0,0.1663929849913942,633.490458498715,0.28888888888888886,0.28888888888888886,0.005555555555555556,0.011111111111111112,-30.000000000000004,2,402.331649375325,0.0,0.8336070150086058,False,False
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om105,1.8438876505698467,0.2017064580094989,34.39134287185169,310.79945250912505,914.5270924907986,182.16009158951425,197.41707149841744,156.7433324788949,242.02382783578554,140.6267066930357,45.28946691432994,413.8458848435651,205.17404305033588,581.9493578445018,0.6474366020261872,1107.39121363939,0.0,0.0,0.0,0.0,-81.4509211694784,4,102.17595770222718,0.0,0.2765148828171643,False,False
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om120,2.205555041206619,0.2935663376272489,34.856957837787824,331.09596719706906,1196.3871586385458,165.41414956723509,179.97007546999663,142.50862794361643,228.6463268834289,124.5359273760346,58.83765695956014,199.21449366386358,11.02140064622948,433.04371971388383,0.9745489886020944,4357.09002671072,0.0,0.0,0.0,0.0,-81.4509211694784,156,73.16987069482768,0.0,0.014853639684945352,False,False
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om135,2.9104688157737826,0.4437709804782109,35.544595597834565,344.0992515239936,1813.590858047028,140.33557257133938,155.31234114979065,115.93297210816402,219.75656457321676,76.19045174966229,83.62923528131462,68.66265505240271,0.0,257.8764640415514,1.0,4761.324850371379,0.0,0.0,0.0,0.0,-81.4509211694784,55,44.82251873048588,0.4111111111111111,-0.16701757189149524,True,False
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om15,0.9506161654453184,0.6217000420003331,39.2133381338862,196.7952463155493,338.53430599906363,248.1107348194075,267.9632165626536,205.38285446763223,615.5603224486466,147.48142744618724,237.96254857692526,690.4145776623192,587.3965429800492,742.0,0.20836045420478555,610.7757453876823,0.3,0.21666666666666667,0.005555555555555556,0.011111111111111112,17.457603123722098,2,480.71130179938535,0.0,0.7916395457952147,False,False
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om150,4.577192029174782,0.6328852854028534,34.6675344548063,352.90918665433475,3576.7912283314968,111.08077835144451,121.11210118469091,96.71951763378954,212.2063743569747,76.19045174966229,112.79951666679966,12.706579350296352,0.0,99.40270872058767,1.0,7410.797458202526,0.0,0.0,0.0,0.0,-81.4509211694784,115,20.975925609119212,0.7777777777777778,-0.27765691424356653,True,False
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om255,3.982386680854292,0.2529302393060724,20.138595628241404,15.210194770360369,2902.752665176342,125.16949333171269,136.19983506286053,90.41123827486217,159.53428064937168,76.19045174966229,35.87553845565013,1.3945666691611318,0.0,17.18835628304241,1.0,6605.306152718034,0.0,0.0,0.0,0.0,-81.4509211694784,32,22.175185219119435,0.9166666666666666,-0.08057853769924539,True,False
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om270,2.906102385111226,0.2972464669985447,15.10330987664291,88.60388157893546,1809.5111297967517,147.27629130794213,159.73507566934995,103.15482954970258,194.91442334052888,76.19045174966229,49.77058174383255,4.606301665619705,0.0,27.097478634772425,1.0,5918.120946894611,0.0,0.0,0.0,0.0,-81.4509211694784,14,42.195248117339695,0.7111111111111111,-0.06906642107817929,True,False
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om285,2.1931960404932327,0.3617634594211812,17.68670747169889,97.35084146510331,1186.3451853613042,169.22613428039267,183.07078536454208,119.04264312047664,236.76852363305446,76.19045174966229,71.81058468347695,32.41149517598718,0.0,81.71721636153677,1.0,14209.421109863551,0.0,0.0,0.0,0.0,-81.4509211694784,77,75.8754984050335,0.2777777777777778,-0.04741232661124939,True,False
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om30,0.9772313592049202,0.5527141709730748,48.94806836893652,199.8748018184228,352.8507011756301,242.83127499083162,261.6955284809578,213.88081070343046,552.9236763789447,146.52849632382598,193.9132941846875,666.1298328467429,510.4866883546827,742.0,0.3120125493872201,625.3023839485032,0.2777777777777778,0.17777777777777778,0.005555555555555556,0.011111111111111112,8.305109528050396,3,427.528445900833,0.0,0.68798745061278,False,False
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om300,1.9454832960958248,0.4080085004163583,21.28241607585344,131.75117986805748,991.1426204914762,179.01305174317955,193.45640695708124,135.52845684415615,260.748121799515,123.22828066620636,89.00436404583652,137.92165337127074,8.403623776017909,287.94563098788893,0.9708152412412488,9034.210962215433,0.0,0.0,0.0,0.0,-81.4509211694784,46,98.46519550310727,0.0,0.011325638512153513,False,False
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om315,1.592194578430932,0.3294638174687418,19.37969277527028,153.95140340464437,733.8192554840541,199.20387815921288,215.0245605097672,144.30766578865786,267.6442085227681,142.75595068894094,76.7498335342842,369.8646993682991,287.5513908653705,459.9816077933649,0.3748632858500167,6945.546672895886,0.0,0.0,0.0,0.0,-81.4509211694784,200,142.15314826970072,0.0,0.3875355672040033,False,False
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om330,1.3285047707330135,0.5417592665519648,26.172309748898883,178.90655527019086,559.293239540009,214.45194938689406,231.39489526401326,164.20629827747558,352.7176592238459,147.1169307288667,160.43344190617654,626.6982936404277,556.8168639863129,741.5757932184941,0.2491436895887792,799.0890613234621,0.17777777777777778,0.17777777777777778,0.0,0.011111111111111112,5.739170477266791,2,229.35951829752645,0.0,0.7504270404128206,False,False
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om345,1.1364274946039288,0.4863933364274367,26.01058382319857,189.01953614857032,442.4941067370717,232.66374999568478,251.10259727093722,176.08410086556944,360.7345376161667,147.9752911263545,148.4899481894052,677.9998604904096,631.2607387679625,742.0,0.14924428737471362,664.0194015438129,0.25,0.25,0.005555555555555556,0.011111111111111112,-8.305109528050382,3,301.53134804250817,0.0,0.8507557126252864,False,False
